epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,130.441,0.40748,0.35207,0.92714,0.6031,0.72,0.58852,0.31507,1.72304,1.65929,2.1398,0.000293418,0.000293418,0.000293418
121,131.468,0.44802,0.36902,0.92839,0.6031,0.72,0.58852,0.31507,1.72304,1.65929,2.1398,0.000289884,0.000289884,0.000289884
122,132.543,0.40206,0.38564,0.94223,0.60392,0.70089,0.58953,0.32088,1.60123,1.81053,2.0379,0.00028635,0.00028635,0.00028635
123,133.591,0.47271,0.40303,0.97041,0.63914,0.71501,0.60127,0.35602,1.57147,1.73593,2.03483,0.000282815,0.000282815,0.000282815
124,134.648,0.47453,0.43603,0.99235,0.50985,0.68331,0.60833,0.34638,1.55912,1.60403,2.05061,0.000279281,0.000279281,0.000279281
125,135.674,0.44148,0.36817,0.99626,0.50985,0.68331,0.60833,0.34638,1.55912,1.60403,2.05061,0.000275747,0.000275747,0.000275747
126,136.718,0.40707,0.35928,0.94783,0.72422,0.63333,0.60429,0.36521,1.53289,1.57054,2.10926,0.000272212,0.000272212,0.000272212
127,137.767,0.39577,0.38018,0.93164,0.57984,0.68333,0.65017,0.38975,1.59568,1.58951,2.25077,0.000268678,0.000268678,0.000268678
128,138.83,0.42516,0.37739,0.97908,0.7765,0.58333,0.70825,0.41833,1.69064,1.65918,2.41877,0.000265144,0.000265144,0.000265144
129,139.862,0.45046,0.43762,1.01861,0.7765,0.58333,0.70825,0.41833,1.69064,1.65918,2.41877,0.00026161,0.00026161,0.00026161
130,140.903,0.44083,0.3842,0.94263,0.76838,0.58333,0.74721,0.43113,1.81889,1.75557,2.656,0.000258075,0.000258075,0.000258075
131,141.965,0.43076,0.38569,0.96984,0.71173,0.5606,0.75079,0.43707,1.73979,1.80204,2.5249,0.000254541,0.000254541,0.000254541
132,143.052,0.43485,0.34325,0.94018,0.59462,0.68058,0.7464,0.41537,1.70709,1.73554,2.43592,0.000251007,0.000251007,0.000251007
